NAERING,GYLDIG_FOM,GYLDIG_TOM,NAERING_KORT,NAERING_LANG,TYPE,GRLNAERING,KNRNAERING,A64N_NAERING,A64_NAERING,A64NP,PUBAGG,A38NP,A21NP,A64EU_NAERING,A88
23940,1970,9999,Akt.medl.org,"Aktiviteter i medlemsorganisasjoner + internasjonale organisasjoner",B,23940,2394,2394,2394,2X94,2X90_97,2X94_96,2X94_96,S94,2X94
23950,1970,9999,"Rep.vare pers.br","Reparasjon av datamaskiner, husholdningsvarer og varer til personlig bruk",B,23950,2394,2395,2395,2X95,2X90_97,2X94_96,2X94_96,S95,2X95
23960,1970,9999,A.pers.tj.yt,"Annen personlig tjenesteyting",B,23960,2394,2396,2396,2X96,2X90_97,2X94_96,2X94_96,S96,2X96
24841,1970,9999,"Offentlig adm.","Offentlig administrasjon og forvaltning, og trygdeordninger underlagt offentlig forvaltning",B,24841,2484,2484,2384,2X84,2X84,2X84,2X84,O84,2X84
24842,1970,9999,Forsvaret,Forsvaret,B,24842,2482,2482,2384,2X84,2X84,2X84,2X84,O84,2X84
24844,1970,9999,A.off.tj.yting,"Annen offentlig tjenesteyting",B,24844,2484,2484,2384,2X84,2X84,2X84,2X84,O84,2X84
24850,1970,9999,Undervisning,Undervisning,B,24850,2485,2485,2385,2X85,2X85,2X85,2X85,P85,2X85
24860,1970,9999,Helsetjenester,Helsetjenester,B,24860,2486,2486,2386,2X86,2X86_88,2X86,2X86_88,Q86,2X86
24870,1970,9999,Omsorgstjenester,Omsorgstjenester,B,24870,2487,2487,2387,2X87_88,2X86_88,2X87_88,2X86_88,Q87_88,2X87
24910,1970,9999,Kultur,"Kulturell tjenesteyting",B,24905,2490,2490,2390,2X90_92,2X90_97,2X90_93,2X90_93,R90T92,2X91
25360,1970,9999,"Vannforsyning mm","Uttak fra kilde, rensing og distribusjon av vann",B,25360,2538,2538,2336,2X36,2X36_39,2X36_39,2X36_39,E36,2X36
25370,1970,9999,Saml.beha.avløp,"Oppsamling og behandling av avløpsvann",B,25379,2538,2539,2337,2X37_39,2X36_39,2X36_39,2X36_39,E37T39,2X37
